Host,Category
Pedro Pascal,Actor
Woody Harrelson,Actor
Travis Kelce,Other
Jenna Ortega,Actor
Quinta Brunson,Other
Molly Shannon,Actor
Ana de Armas,Actor
Pete Davidson,Actor
Bad Bunny,Musician
Nate Bargatze,Comedian
Timothée Chalamet,Actor
